ds,AAPL
2023-08-30,185.82981872558594
2023-08-31,186.0476531982422
2023-09-01,187.6222686767578
2023-09-05,187.85992431640625
2023-09-06,181.13577270507812
2023-09-07,175.837646484375
2023-09-08,176.45166015625
2023-09-11,177.62020874023438
2023-09-12,174.5899200439453
2023-09-13,172.52017211914062
2023-09-14,174.03533935546875
2023-09-15,173.31240844726562
2023-09-18,176.24368286132812
2023-09-19,177.33303833007812
2023-09-20,173.7877655029297
2023-09-21,172.2428741455078
2023-09-22,173.0945281982422
2023-09-25,174.37203979492188
2023-09-26,170.29202270507812
2023-09-27,168.77684020996094
2023-09-28,169.03433227539062
2023-09-29,169.5492706298828
2023-10-02,172.0646209716797
2023-10-03,170.72772216796875
2023-10-04,171.9755096435547
2023-10-05,173.21337890625
2023-10-06,175.76837158203125
2023-10-09,177.2538299560547
2023-10-10,176.6596221923828
2023-10-11,178.05596923828125
2023-10-12,178.95713806152344
2023-10-13,177.1151885986328
2023-10-16,176.9864501953125
2023-10-17,175.43165588378906
2023-10-18,174.13436889648438
2023-10-19,173.758056640625
2023-10-20,171.20309448242188
2023-10-23,171.32191467285156
2023-10-24,171.7576446533203
2023-10-25,169.44033813476562
2023-10-26,165.27117919921875
2023-10-27,166.58828735351562
2023-10-30,168.63818359375
2023-10-31,169.11355590820312
2023-11-01,172.28250122070312
2023-11-02,175.8476104736328
2023-11-03,174.93649291992188
2023-11-06,177.49147033691406
2023-11-07,180.05636596679688
2023-11-08,181.11599731445312
2023-11-09,180.64064025878906
2023-11-10,184.83511352539062
2023-11-13,183.24855041503906
2023-11-14,185.86639404296875
2023-11-15,186.43161010742188
2023-11-16,188.11732482910156
2023-11-17,188.09750366210938
2023-11-20,189.8427276611328
2023-11-21,189.03952026367188
2023-11-22,189.70391845703125
2023-11-24,188.37515258789062
2023-11-27,188.1966552734375
2023-11-28,188.801513671875
2023-11-29,187.7801971435547
2023-11-30,188.35531616210938
2023-12-01,189.63450622558594
2023-12-04,187.83966064453125
2023-12-05,191.79620361328125
2023-12-06,190.70542907714844
2023-12-07,192.63905334472656
2023-12-08,194.0669708251953
2023-12-11,191.5581817626953
2023-12-12,193.0753631591797
2023-12-13,196.298095703125
2023-12-14,196.44680786132812
2023-12-15,195.9113311767578
2023-12-18,194.24545288085938
2023-12-19,195.28665161132812
2023-12-20,193.19436645507812
2023-12-21,193.04559326171875
2023-12-22,191.9746856689453
2023-12-26,191.42929077148438
2023-12-27,191.52845764160156
2023-12-28,191.95484924316406
2023-12-29,190.91366577148438
2024-01-02,184.0814971923828
2024-01-03,182.70314025878906
2024-01-04,180.38282775878906
2024-01-05,179.65892028808594
2024-01-08,184.00218200683594
2024-01-09,183.58570861816406
2024-01-10,184.62686157226562
2024-01-11,184.0319061279297
2024-01-12,184.35916137695312
2024-01-16,182.08837890625
2024-01-17,181.14633178710938
2024-01-18,187.04641723632812
2024-01-19,189.95179748535156
2024-01-22,192.26223754882812
2024-01-23,193.54141235351562
2024-01-24,192.86712646484375
2024-01-25,192.53988647460938
2024-01-26,190.8045654296875
2024-01-29,190.12039184570312
2024-01-30,186.46133422851562
2024-01-31,182.8519287109375
2024-02-01,185.291259765625
2024-02-02,184.2897491455078
2024-02-05,186.1043701171875
2024-02-06,187.71080017089844
2024-02-07,187.81985473632812
2024-02-08,186.73902893066406
2024-02-09,187.50352478027344
2024-02-12,185.81564331054688
2024-02-13,183.72067260742188
2024-02-14,182.83702087402344
2024-02-15,182.54910278320312
2024-02-16,181.01014709472656
2024-02-20,180.26548767089844
2024-02-21,181.02008056640625
2024-02-22,183.05543518066406
2024-02-23,181.2186737060547
2024-02-26,179.86834716796875
2024-02-27,181.327880859375
2024-02-28,180.12649536132812
2024-02-29,179.4612579345703
2024-03-01,178.37904357910156
2024-03-04,173.85154724121094
2024-03-05,168.90704345703125
2024-03-06,167.9141845703125
2024-03-07,167.7950439453125
2024-03-08,169.51271057128906
2024-03-11,171.518310546875
2024-03-12,171.994873046875
2024-03-13,169.90985107421875
2024-03-14,171.7665252685547
2024-03-15,171.3892364501953
2024-03-18,172.48138427734375
2024-03-19,174.82455444335938
2024-03-20,177.3960723876953
2024-03-21,170.1481170654297
2024-03-22,171.05165100097656
2024-03-25,169.63186645507812
2024-03-26,168.49996948242188
2024-03-27,172.07431030273438
2024-03-28,170.25733947753906
2024-04-01,168.8177032470703
2024-04-02,167.63616943359375
2024-04-03,168.44041442871094
2024-04-04,167.6163330078125
2024-04-05,168.37091064453125
2024-04-08,167.2489776611328
2024-04-09,168.4602508544922
2024-04-10,166.58372497558594
2024-04-11,173.79196166992188
2024-04-12,175.29119873046875
2024-04-15,171.458740234375
2024-04-16,168.17233276367188
2024-04-17,166.8021697998047
2024-04-18,165.8489990234375
2024-04-19,163.82354736328125
2024-04-22,164.6575469970703
2024-04-23,165.7100067138672
2024-04-24,167.81491088867188
2024-04-25,168.67869567871094
2024-04-26,168.09291076660156
2024-04-29,172.26296997070312
2024-04-30,169.11553955078125
2024-05-01,168.09291076660156
2024-05-02,171.7963104248047
2024-05-03,182.072509765625
2024-05-06,180.4144287109375
2024-05-07,181.0994873046875
2024-05-08,181.4370880126953
2024-05-09,183.25404357910156
2024-05-10,181.9913787841797
2024-05-13,185.2027130126953
2024-05-14,186.3460235595703
2024-05-15,188.622802734375
2024-05-16,188.74209594726562
2024-05-17,188.7719268798828
2024-05-20,189.93515014648438
2024-05-21,191.2375946044922
2024-05-22,189.7959747314453
2024-05-23,185.79922485351562
2024-05-24,188.8812713623047
2024-05-28,188.89125061035156
2024-05-29,189.1894989013672
2024-05-30,190.18370056152344
2024-05-31,191.13815307617188
2024-06-03,192.90786743164062
2024-06-04,193.2260284423828
2024-06-05,194.7372283935547
2024-06-06,193.35525512695312
2024-06-07,195.75132751464844
2024-06-10,192.0031280517578
2024-06-11,205.9519805908203
2024-06-12,211.83778381347656
2024-06-13,213.00100708007812
2024-06-14,211.26113891601562
2024-06-17,215.4169464111328
2024-06-18,213.05067443847656
2024-06-20,208.46734619140625
2024-06-21,206.2900390625
2024-06-24,206.936279296875
2024-06-25,207.86090087890625
2024-06-26,212.01670837402344
2024-06-27,212.86181640625
2024-06-28,209.4019317626953
2024-07-01,215.49649047851562
2024-07-02,218.99610900878906
2024-07-03,220.26870727539062
2024-07-05,225.031005859375
2024-07-08,226.50245666503906
2024-07-09,227.3574676513672
2024-07-10,231.63259887695312
2024-07-11,226.25392150878906
2024-07-12,229.2067108154297
2024-07-15,233.04440307617188
2024-07-16,233.4619903564453
2024-07-17,227.55633544921875
2024-07-18,222.88348388671875
2024-07-19,223.01275634765625
2024-07-22,222.664794921875
2024-07-23,223.70870971679688
2024-07-24,217.27610778808594
2024-07-25,216.2322235107422
2024-07-26,216.69949340820312
2024-07-29,216.97787475585938
2024-07-30,217.53463745117188
2024-07-31,220.795654296875
2024-08-01,217.09716796875
2024-08-02,218.58848571777344
2024-08-05,208.05975341796875
2024-08-06,206.03152465820312
2024-08-07,208.60655212402344
2024-08-08,212.07638549804688
2024-08-09,214.9894256591797
2024-08-12,216.52230834960938
2024-08-13,220.24497985839844
2024-08-14,220.69290161132812
2024-08-15,223.6790008544922
2024-08-16,225.00282287597656
2024-08-19,224.8435821533203
2024-08-20,225.460693359375
2024-08-21,225.3511962890625
2024-08-22,223.4898681640625
2024-08-23,225.78916931152344
2024-08-26,226.12757873535156
2024-08-27,226.97366333007812
2024-08-28,225.4407958984375
2024-08-29,228.72549438476562
2024-08-30,227.9391632080078
2024-09-03,221.738037109375
2024-09-04,219.82691955566406
2024-09-05,221.34983825683594
2024-09-06,219.79705810546875
2024-09-09,219.88665771484375
2024-09-10,219.09033203125
2024-09-11,221.6285400390625
2024-09-12,221.738037109375
2024-09-13,221.4692840576172
2024-09-16,215.3179168701172
2024-09-17,215.7857208251953
2024-09-18,219.66766357421875
2024-09-19,227.8097686767578
2024-09-20,227.1428680419922
2024-09-23,225.42088317871094
2024-09-24,226.31671142578125
2024-09-25,225.3213348388672
2024-09-26,226.4660186767578
2024-09-27,226.73475646972656
2024-09-30,231.92063903808594
2024-10-01,225.16209411621094
2024-10-02,225.72946166992188
2024-10-03,224.6245880126953
2024-10-04,225.74935913085938
2024-10-07,220.6630401611328
2024-10-08,224.72413635253906
2024-10-09,228.47666931152344
2024-10-10,227.97897338867188
2024-10-11,226.4958953857422
2024-10-14,230.228515625
2024-10-15,232.76670837402344
2024-10-16,230.70628356933594
2024-10-17,231.07456970214844
2024-10-18,233.91136169433594
2024-10-21,235.38450622558594
2024-10-22,234.7673797607422
2024-10-23,229.69100952148438
2024-10-24,229.50189208984375
2024-10-25,230.3380126953125
2024-10-28,232.3187713623047
2024-10-29,232.5875244140625
2024-10-30,229.03407287597656
2024-10-31,224.86346435546875
2024-11-01,221.87738037109375
2024-11-04,220.98155212402344
2024-11-05,222.4148712158203
2024-11-06,221.68826293945312
2024-11-07,226.42620849609375
2024-11-08,226.15716552734375
2024-11-11,223.4368133544922
2024-11-12,223.4368133544922
2024-11-13,224.3236541748047
2024-11-14,227.41270446777344
2024-11-15,224.2041015625
2024-11-18,227.2134246826172
2024-11-19,227.4724884033203
2024-11-20,228.18994140625
2024-11-21,227.71165466308594
2024-11-22,229.05686950683594
2024-11-25,232.04624938964844
