number,value,datetime_start,datetime_complete,duration,params_D,params_EXOG_ON,params_P,params_Q,params_d,params_enforce_invertibility,params_enforce_stationarity,params_m,params_p,params_q,params_trend,state
36,0.04115346195848241,2025-09-08 16:57:28.254680,2025-09-08 16:57:35.667680,0 days 00:00:07.413000,0,0,0,0,0,True,True,7,4,3,c,COMPLETE
37,0.04115346195848241,2025-09-08 16:57:28.538679,2025-09-08 16:57:36.015680,0 days 00:00:07.477001,0,0,0,0,0,True,True,7,4,3,c,COMPLETE
38,0.054588620589147735,2025-09-08 16:57:28.765680,2025-09-08 16:57:36.270679,0 days 00:00:07.504999,0,0,0,0,0,True,True,7,4,2,c,COMPLETE
39,0.04040276276171314,2025-09-08 16:57:28.879679,2025-09-08 16:57:29.104680,0 days 00:00:00.225001,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
40,0.0405477417270787,2025-09-08 16:57:29.419680,2025-09-08 16:57:29.567680,0 days 00:00:00.148000,0,0,0,0,0,True,True,7,4,2,n,COMPLETE
41,0.04128191276632094,2025-09-08 16:57:29.594680,2025-09-08 16:57:31.806680,0 days 00:00:02.212000,0,0,0,0,0,True,True,7,2,3,n,COMPLETE
42,0.04128191276632094,2025-09-08 16:57:29.652680,2025-09-08 16:57:31.757680,0 days 00:00:02.105000,0,0,0,0,0,True,True,7,2,3,n,COMPLETE
43,0.04509831615652992,2025-09-08 16:57:29.757679,2025-09-08 16:57:33.168681,0 days 00:00:03.411002,0,0,0,0,0,True,True,7,3,1,c,COMPLETE
44,0.04128191276632094,2025-09-08 16:57:29.900681,2025-09-08 16:57:32.108680,0 days 00:00:02.207999,0,0,0,0,0,True,True,7,2,3,n,COMPLETE
45,0.0420908726608708,2025-09-08 16:57:30.245680,2025-09-08 16:57:32.922680,0 days 00:00:02.677000,0,0,0,0,0,True,True,7,2,4,n,COMPLETE
46,0.0404835281535303,2025-09-08 16:57:31.307681,2025-09-08 16:57:33.002680,0 days 00:00:01.694999,0,0,0,0,0,True,True,7,3,3,n,COMPLETE
47,0.0404835281535303,2025-09-08 16:57:31.734680,2025-09-08 16:57:33.370679,0 days 00:00:01.635999,0,0,0,0,0,True,True,7,3,3,n,COMPLETE
48,0.0405477417270787,2025-09-08 16:57:31.866681,2025-09-08 16:57:32.257682,0 days 00:00:00.391001,0,0,0,0,0,True,True,7,4,2,n,COMPLETE
49,0.0405477417270787,2025-09-08 16:57:31.885680,2025-09-08 16:57:32.648680,0 days 00:00:00.763000,0,0,0,0,0,True,True,7,4,2,n,COMPLETE
50,0.04074834677782263,2025-09-08 16:57:33.081680,2025-09-08 16:57:35.273683,0 days 00:00:02.192003,0,0,0,0,0,True,True,7,5,4,n,COMPLETE
51,0.198878429574837,2025-09-08 16:57:33.210683,2025-09-08 16:57:36.114681,0 days 00:00:02.903998,0,1,0,0,0,True,True,7,5,3,n,COMPLETE
52,0.3638425622490123,2025-09-08 16:57:33.317680,2025-09-08 16:57:37.777681,0 days 00:00:04.460001,0,1,0,0,0,True,True,7,4,2,c,COMPLETE
53,0.04103076065825577,2025-09-08 16:57:33.379681,2025-09-08 16:57:35.917679,0 days 00:00:02.537998,0,0,0,0,0,True,True,7,4,4,n,COMPLETE
54,0.04103076065825577,2025-09-08 16:57:34.139685,2025-09-08 16:57:36.068680,0 days 00:00:01.928995,0,0,0,0,0,True,True,7,4,4,n,COMPLETE
55,0.04040276276171314,2025-09-08 16:57:36.140679,2025-09-08 16:57:36.248679,0 days 00:00:00.108000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
56,0.04040276276171314,2025-09-08 16:57:36.226679,2025-09-08 16:57:36.355679,0 days 00:00:00.129000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
57,0.04040276276171314,2025-09-08 16:57:36.237679,2025-09-08 16:57:36.337679,0 days 00:00:00.100000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
58,1.9963555318545776,2025-09-08 16:57:36.392679,2025-09-08 16:57:36.925680,0 days 00:00:00.533001,0,0,0,0,1,True,True,7,2,2,n,COMPLETE
59,0.04103628195770933,2025-09-08 16:57:36.657682,2025-09-08 16:57:37.500681,0 days 00:00:00.842999,0,0,0,0,0,True,True,7,3,1,n,COMPLETE
60,0.04105584024234711,2025-09-08 16:57:36.897680,2025-09-08 16:57:37.148680,0 days 00:00:00.251000,0,0,0,0,0,True,True,7,2,1,n,COMPLETE
61,0.04103628195770933,2025-09-08 16:57:37.143680,2025-09-08 16:57:37.633682,0 days 00:00:00.490002,0,0,0,0,0,True,True,7,3,1,n,COMPLETE
62,0.04040276276171314,2025-09-08 16:57:37.522682,2025-09-08 16:57:37.601681,0 days 00:00:00.078999,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
63,0.04040276276171314,2025-09-08 16:57:37.559685,2025-09-08 16:57:37.642683,0 days 00:00:00.082998,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
64,0.04040276276171314,2025-09-08 16:57:37.637680,2025-09-08 16:57:37.701680,0 days 00:00:00.064000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
65,0.5713679303743981,2025-09-08 16:57:37.660681,2025-09-08 16:57:38.122681,0 days 00:00:00.462000,0,1,0,0,0,True,True,7,4,0,n,COMPLETE
66,1.993777786291002,2025-09-08 16:57:37.735681,2025-09-08 16:57:38.124680,0 days 00:00:00.388999,0,1,0,0,1,True,True,7,1,0,c,COMPLETE
67,1.9946628358485279,2025-09-08 16:57:37.793683,2025-09-08 16:57:43.895679,0 days 00:00:06.101996,0,1,0,0,2,True,True,7,1,4,c,COMPLETE
68,0.04040276276171314,2025-09-08 16:57:37.891681,2025-09-08 16:57:38.026680,0 days 00:00:00.134999,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
69,0.04040276276171314,2025-09-08 16:57:37.906681,2025-09-08 16:57:37.993680,0 days 00:00:00.086999,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
70,0.5488169149384101,2025-09-08 16:57:38.059680,2025-09-08 16:57:42.087681,0 days 00:00:04.028001,0,1,0,0,0,True,True,7,2,3,c,COMPLETE
71,0.20393995596325634,2025-09-08 16:57:38.106680,2025-09-08 16:57:39.100680,0 days 00:00:00.994000,0,1,0,0,0,True,True,7,4,1,n,COMPLETE
72,1.9950943429540182,2025-09-08 16:57:38.147681,2025-09-08 16:57:40.237680,0 days 00:00:02.089999,0,1,0,0,2,True,True,7,5,3,n,COMPLETE
73,1.9936085257097746,2025-09-08 16:57:38.190681,2025-09-08 16:57:39.075681,0 days 00:00:00.885000,0,0,0,0,1,True,True,7,3,2,n,COMPLETE
74,0.5689940235489086,2025-09-08 16:57:38.973681,2025-09-08 16:57:40.848682,0 days 00:00:01.875001,0,1,0,0,0,True,True,7,3,3,n,COMPLETE
75,1.9936085257097746,2025-09-08 16:57:39.056680,2025-09-08 16:57:39.254681,0 days 00:00:00.198001,0,0,0,0,1,True,True,7,3,2,n,COMPLETE
76,0.04040276276171314,2025-09-08 16:57:39.106680,2025-09-08 16:57:39.216680,0 days 00:00:00.110000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
